Field Name,Field Type,Status,Notes
"weather_heavy_rain",CheckBox,MAPPED,
"weather_raining",CheckBox,MAPPED,
"weather_snow",CheckBox,MAPPED,
"weather_thunder_lightening",CheckBox,MAPPED,
"weather_windy",CheckBox,MAPPED,
"what3words",Text,MAPPED,
"witness_email_2",Text,MAPPED,
"witness_email_address",Text,MAPPED,
"witness_mobile_number",Text,MAPPED,
"witness_name",Text,MAPPED,
"witness_number",Text,MAPPED,
"witness_statement",Text,MAPPED,
"witness_statement_2",Text,MAPPED,
"witnesses_present",CheckBox,MAPPED,
"yes_i_drove_it_away",CheckBox,MAPPED,
"your_speed",Text,MAPPED,
